DATE,DEXUSUK
2014-03-31,1.6675
2014-04-01,1.6639
2014-04-02,1.6634
2014-04-03,1.6583
2014-04-04,1.6594
2014-04-07,1.6616
2014-04-08,1.6743
2014-04-09,1.6751
2014-04-10,1.6781
2014-04-11,1.6736
2014-04-14,1.6741
2014-04-15,1.6725
2014-04-16,1.6794
2014-04-17,1.6809
2014-04-18,1.6792
2014-04-21,1.6792
2014-04-22,1.6833
2014-04-23,1.6768
2014-04-24,1.6797
2014-04-25,1.6810
2014-04-28,1.6812
2014-04-29,1.6829
2014-04-30,1.6883
2014-05-01,1.6900
2014-05-02,1.6865
2014-05-05,1.6870
2014-05-06,1.6976
2014-05-07,1.6964
2014-05-08,1.6944
2014-05-09,1.6849
2014-05-12,1.6871
2014-05-13,1.6838
2014-05-14,1.6784
2014-05-15,1.6791
2014-05-16,1.6827
2014-05-19,1.6822
2014-05-20,1.6847
2014-05-21,1.6869
2014-05-22,1.6859
2014-05-23,1.6822
2014-05-26,.
2014-05-27,1.6800
2014-05-28,1.6709
2014-05-29,1.6719
2014-05-30,1.6764
2014-06-02,1.6756
2014-06-03,1.6753
2014-06-04,1.6747
2014-06-05,1.6796
2014-06-06,1.6794
2014-06-09,1.6798
2014-06-10,1.6753
2014-06-11,1.6795
2014-06-12,1.6853
2014-06-13,1.6953
2014-06-16,1.6988
2014-06-17,1.6965
2014-06-18,1.6951
2014-06-19,1.7046
2014-06-20,1.7014
2014-06-23,1.7010
2014-06-24,1.6971
2014-06-25,1.6986
2014-06-26,1.7018
2014-06-27,1.7016
2014-06-30,1.7105
2014-07-01,1.7147
2014-07-02,1.7165
2014-07-03,1.7152
2014-07-04,.
2014-07-07,1.7128
2014-07-08,1.7127
2014-07-09,1.7130
2014-07-10,1.7122
2014-07-11,1.7108
2014-07-14,1.7079
2014-07-15,1.7149
2014-07-16,1.7131
2014-07-17,1.7104
2014-07-18,1.7069
2014-07-21,1.7067
2014-07-22,1.7058
2014-07-23,1.7036
2014-07-24,1.6981
2014-07-25,1.6972
2014-07-28,1.6991
2014-07-29,1.6939
2014-07-30,1.6903
2014-07-31,1.6889
2014-08-01,1.6832
2014-08-04,1.6841
2014-08-05,1.6874
2014-08-06,1.6833
2014-08-07,1.6849
2014-08-08,1.6778
2014-08-11,1.6787
2014-08-12,1.6806
2014-08-13,1.6696
2014-08-14,1.6694
2014-08-15,1.6686
2014-08-18,1.6720
2014-08-19,1.6620
2014-08-20,1.6633
2014-08-21,1.6589
2014-08-22,1.6574
2014-08-25,1.6585
2014-08-26,1.6570
2014-08-27,1.6573
2014-08-28,1.6579
2014-08-29,1.6585
2014-09-01,.
2014-09-02,1.6502
2014-09-03,1.6451
2014-09-04,1.6349
2014-09-05,1.6312
2014-09-08,1.6141
2014-09-09,1.6088
2014-09-10,1.6134
2014-09-11,1.6225
2014-09-12,1.6243
2014-09-15,1.6243
2014-09-16,1.6290
2014-09-17,1.6329
2014-09-18,1.6372
2014-09-19,1.6314
2014-09-22,1.6340
2014-09-23,1.6370
2014-09-24,1.6344
2014-09-25,1.6313
2014-09-26,1.6254
2014-09-29,1.6262
2014-09-30,1.6220
2014-10-01,1.6216
2014-10-02,1.6140
2014-10-03,1.5962
2014-10-06,1.6029
2014-10-07,1.6072
2014-10-08,1.6068
2014-10-09,1.6123
2014-10-10,1.6049
2014-10-13,.
2014-10-14,1.5930
2014-10-15,1.5959
2014-10-16,1.6065
2014-10-17,1.6086
2014-10-20,1.6137
2014-10-21,1.6134
2014-10-22,1.6070
2014-10-23,1.6037
2014-10-24,1.6098
2014-10-27,1.6133
2014-10-28,1.6157
2014-10-29,1.6149
2014-10-30,1.6023
2014-10-31,1.5999
2014-11-03,1.5986
2014-11-04,1.5991
2014-11-05,1.5984
2014-11-06,1.5862
2014-11-07,1.5844
2014-11-10,1.5857
2014-11-11,.
2014-11-12,1.5815
2014-11-13,1.5717
2014-11-14,1.5657
2014-11-17,1.5645
2014-11-18,1.5648
2014-11-19,1.5670
2014-11-20,1.5683
2014-11-21,1.5672
2014-11-24,1.5701
2014-11-25,1.5714
2014-11-26,1.5787
2014-11-27,.
2014-11-28,1.5638
2014-12-01,1.5743
2014-12-02,1.5651
2014-12-03,1.5700
2014-12-04,1.5707
2014-12-05,1.5600
2014-12-08,1.5625
2014-12-09,1.5694
2014-12-10,1.5689
2014-12-11,1.5712
2014-12-12,1.5728
2014-12-15,1.5663
2014-12-16,1.5736
2014-12-17,1.5652
2014-12-18,1.5662
2014-12-19,1.5609
2014-12-22,1.5618
2014-12-23,1.5517
2014-12-24,1.5549
2014-12-25,.
2014-12-26,.
2014-12-29,1.5524
2014-12-30,1.5573
2014-12-31,1.5578
2015-01-01,.
2015-01-02,1.5361
2015-01-05,1.5234
2015-01-06,1.5174
2015-01-07,1.5073
2015-01-08,1.5118
2015-01-09,1.5151
2015-01-12,1.5168
2015-01-13,1.5166
2015-01-14,1.5234
2015-01-15,1.5161
2015-01-16,1.5132
2015-01-19,.
2015-01-20,1.5162
2015-01-21,1.5118
2015-01-22,1.5052
2015-01-23,1.5022
2015-01-26,1.5088
2015-01-27,1.5196
2015-01-28,1.5165
2015-01-29,1.5043
2015-01-30,1.5026
2015-02-02,1.5027
2015-02-03,1.5129
2015-02-04,1.5209
2015-02-05,1.5293
2015-02-06,1.5247
2015-02-09,1.5217
2015-02-10,1.5252
2015-02-11,1.5232
2015-02-12,1.5380
2015-02-13,1.5394
2015-02-16,.
2015-02-17,1.5349
2015-02-18,1.5430
2015-02-19,1.5451
2015-02-20,1.5385
2015-02-23,1.5465
2015-02-24,1.5434
2015-02-25,1.5499
2015-02-26,1.5424
2015-02-27,1.5439
2015-03-02,1.5371
2015-03-03,1.5391
2015-03-04,1.5266
2015-03-05,1.5229
2015-03-06,1.5063
2015-03-09,1.5097
2015-03-10,1.5086
2015-03-11,1.4945
2015-03-12,1.4907
2015-03-13,1.4755
2015-03-16,1.4800
2015-03-17,1.4744
2015-03-18,1.4686
2015-03-19,1.4729
2015-03-20,1.4923
2015-03-23,1.4936
2015-03-24,1.4870
2015-03-25,1.4915
2015-03-26,1.4844
2015-03-27,1.4878
2015-03-30,1.4792
2015-03-31,1.4850
2015-04-01,1.4823
2015-04-02,1.4842
2015-04-03,1.4916
2015-04-06,1.4959
2015-04-07,1.4857
2015-04-08,1.4924
2015-04-09,1.4739
2015-04-10,1.4648
2015-04-13,1.4658
2015-04-14,1.4790
2015-04-15,1.4782
2015-04-16,1.4923
2015-04-17,1.4942
2015-04-20,1.4913
2015-04-21,1.4944
2015-04-22,1.5027
2015-04-23,1.5047
2015-04-24,1.5176
2015-04-27,1.5235
2015-04-28,1.5328
2015-04-29,1.5485
2015-04-30,1.5328
2015-05-01,1.5137
2015-05-04,1.5118
2015-05-05,1.5178
2015-05-06,1.5244
2015-05-07,1.5223
2015-05-08,1.5455
2015-05-11,1.5593
2015-05-12,1.5685
2015-05-13,1.5748
2015-05-14,1.5766
2015-05-15,1.5772
2015-05-18,1.5679
2015-05-19,1.5523
2015-05-20,1.5544
2015-05-21,1.5672
2015-05-22,1.5484
2015-05-25,.
2015-05-26,1.5398
2015-05-27,1.5324
2015-05-28,1.5291
2015-05-29,1.5286
2015-06-01,1.5187
2015-06-02,1.5331
2015-06-03,1.5351
2015-06-04,1.5367
2015-06-05,1.5267
2015-06-08,1.5280
2015-06-09,1.5383
2015-06-10,1.5530
2015-06-11,1.5493
2015-06-12,1.5587
2015-06-15,1.5572
2015-06-16,1.5637
2015-06-17,1.5708
2015-06-18,1.5882
2015-06-19,1.5881
2015-06-22,1.5823
2015-06-23,1.5751
2015-06-24,1.5681
2015-06-25,1.5728
2015-06-26,1.5739
2015-06-29,1.5764
2015-06-30,1.5727
2015-07-01,1.5617
2015-07-02,1.5614
2015-07-03,.
2015-07-06,1.5619
2015-07-07,1.5443
2015-07-08,1.5353
2015-07-09,1.5375
2015-07-10,1.5503
